Date,PM2.5,Site Name,CBSA_NAME,STATE,COUNTY,Month
2020-02-02,6.2,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-03,3.1,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-04,4.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-05,6.4,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-06,10.8,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-07,14.5,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-08,9.4,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-09,2.7,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-10,5.1,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-11,4.3,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-12,10.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-13,8.5,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-14,9.1,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-15,11.8,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-16,7.6,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-17,7.9,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-18,6.0,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-19,10.9,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-20,11.7,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-21,10.9,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-22,12.6,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-23,7.2,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-24,7.9,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
2020-02-25,6.6,Oakland,"San Francisco-Oakland-Hayward, CA",California,Alameda,2
